hold_days,picks,min_prob,stop_loss,ranking,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,stop_loss_label,score
3,1,0.45,-5.0,Prob,35.405820904809815,7.877748617200786,0.4164507096513975,0.613939807176081,0.10205086017568733,-77.194338231336,53.03867403314917,4.685082940750605,-4.737617036982292,0.26005808932907837,1.1168880368762366,362,135405.8209048098,7.547452054794522,-5%,0.21503906250000002
3,1,0.45,-5.0,EV,-25.560762466068145,-7.118648248087867,0.11106205745598127,0.14329117318355145,-0.11036813413971362,-64.49912652393363,53.239436619718305,3.612483958270186,-4.013847178874425,0.046368553295522974,1.0247048930268423,355,74439.23753393185,7.401506849315069,-5%,0.08059895833333333
3,1,0.45,-7.0,Prob,158.62676780380926,26.834976076494655,0.6902571656311822,1.0518925310420608,0.40986471553411674,-65.4727646938931,52.02312138728323,5.197308495558298,-4.606698928789739,0.4936517543971009,1.2233566389275288,346,258626.76780380929,7.213863013698631,-7%,0.5041666666666667
3,1,0.45,-7.0,EV,117.38984647923259,21.441622360727308,0.6368064150947982,0.8816356993595942,0.4949560859948695,-43.32025197271655,55.10204081632652,4.06766670594454,-4.149969681015767,0.3781156750644027,1.2029332249528935,343,217389.84647923257,7.151315068493151,-7%,0.466015625
3,1,0.45,-10.0,Prob,39.91991116064864,8.766426361121905,0.4429835387462014,0.6387640760059317,0.11852787409617004,-73.9608841208869,52.8023598820059,5.262375656584739,-5.179835301085318,0.33389850842187996,1.136577212130785,339,139919.91116064863,7.067917808219179,-10%,0.23619791666666667
3,1,0.45,-10.0,EV,-24.59983743769707,-6.820135911256786,0.10739725787503514,0.14989822443400364,-0.11435922386223119,-59.637829646981686,51.64179104477612,3.6856046530385798,-3.84571282935649,0.04359440782066574,1.0234414096300828,335,75400.16256230292,6.984520547945206,-10%,0.06660156249999999
3,1,0.45,,Prob,7.5197746240788454,1.8304066730121527,0.33098579318213306,0.5151588023834862,0.02196565524413658,-83.33039249993482,50.44776119402985,5.497998412460545,-5.052754826316669,0.2698639717530298,1.107783777752292,335,107519.77462407885,6.984520547945206,nan%,0.15221354166666665
3,1,0.45,,EV,-14.197640381581989,-3.7582700809748903,0.1656922445782413,0.22853882167016992,-0.06682213655174325,-56.24289007976721,50.59880239520959,3.6195138914231944,-3.5686852123119666,0.06845744796121342,1.0388306791364996,334,85802.359618418,6.963671232876713,nan%,0.085546875
3,1,0.5,-5.0,Prob,35.405820904809815,7.877748617200786,0.4164507096513975,0.613939807176081,0.10205086017568733,-77.194338231336,53.03867403314917,4.685082940750605,-4.737617036982292,0.26005808932907837,1.1168880368762366,362,135405.8209048098,7.547452054794522,-5%,0.21503906250000002
3,1,0.5,-5.0,EV,4.933806965299237,1.2121006522859856,0.290048659209154,0.36924391162799247,0.020028127449150657,-60.51991906699135,54.107648725212464,3.710615768723783,-4.0451981850950745,0.151290384818245,1.0814950470204803,353,104933.80696529924,7.359808219178083,-5%,0.15390625
3,1,0.5,-7.0,Prob,158.62676780380926,26.834976076494655,0.6902571656311822,1.0518925310420608,0.40986471553411674,-65.4727646938931,52.02312138728323,5.197308495558298,-4.606698928789739,0.4936517543971009,1.2233566389275288,346,258626.76780380929,7.213863013698631,-7%,0.5041666666666667
3,1,0.5,-7.0,EV,161.06171468687762,27.13266668636958,0.7227186256193644,1.001871130752962,0.595770531659752,-45.54214289649559,55.39358600583091,4.073960977569263,-4.093871240969921,0.43058392381854826,1.2357905095833395,343,261061.71468687762,7.151315068493151,-7%,0.5513020833333333
3,1,0.5,-10.0,Prob,39.91991116064864,8.766426361121905,0.4429835387462014,0.6387640760059317,0.11852787409617004,-73.9608841208869,52.8023598820059,5.262375656584739,-5.179835301085318,0.33389850842187996,1.136577212130785,339,139919.91116064863,7.067917808219179,-10%,0.23619791666666667
3,1,0.5,-10.0,EV,-33.32176750153128,-9.642151787899422,0.0492669113829598,0.06797941890816031,-0.14219070386585522,-67.81140767821199,51.94029850746269,3.648275916624583,-3.92053103909716,0.010729887158312346,1.0056946782203906,335,66678.23249846871,6.984520547945206,-10%,0.05709635416666667
3,1,0.5,,Prob,7.5197746240788454,1.8304066730121527,0.33098579318213306,0.5151588023834862,0.02196565524413658,-83.33039249993482,50.44776119402985,5.497998412460545,-5.052754826316669,0.2698639717530298,1.107783777752292,335,107519.77462407885,6.984520547945206,nan%,0.15221354166666665
3,1,0.5,,EV,41.68157207773786,9.107411258871112,0.4258651770608902,0.6007600227739797,0.17480795292212659,-52.09952468769129,55.25525525525525,3.8150497052506878,-4.143352753120937,0.2540828394928134,1.1370507415834594,333,141681.57207773786,6.94282191780822,nan%,0.246875
3,1,0.55,-5.0,Prob,54.23202231474211,11.448918889129978,0.4749775034519597,0.6994751860271727,0.15463243255906317,-74.03957048116,53.03867403314917,4.756266239028278,-4.737727465711809,0.2977609080729887,1.1338311638457377,362,154232.02231474212,7.547452054794522,-5%,0.26171875
3,1,0.55,-5.0,EV,100.25146246115813,18.972219527518774,0.5978528942956554,0.7670932488506007,0.36187345788505465,-52.42777306299459,55.27065527065527,3.8854890305939356,-4.039113221197949,0.34086637096052846,1.1886711922439903,351,200251.46246115814,7.3181095890410965,-5%,0.4161458333333333
