label,stop_loss,trailing_stop,vol_stop,regime_filter,dynamic_hold,partial_profit,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,score
BASELINE,-7.0,none,False,none,False,False,927.2537297028624,117.65334554269002,1.884641835350737,2.810527151748903,4.314947009632037,-27.26646359272975,60.50420168067227,8.423522132810463,-7.155107815907946,2.2706178673502513,1.8034835175055288,238,1027253.7297028624,6.622230347349178,0.9265625000000002
SL=-3%,-3.0,none,False,none,False,False,391.51854887325885,70.16962466206532,1.385697021286195,2.181384452448622,2.0470300844388203,-34.27874616767142,45.68690095846645,9.014427477697085,-5.060975506542081,1.3696399143722982,1.498273263773163,313,491518.5488732589,8.709067641681902,0.5828125
SL=-5%,-5.0,none,False,none,False,False,581.4343981280073,89.78085931723345,1.4845578705558555,2.5717758303274825,2.0663868829203733,-43.448233270987664,51.13636363636363,8.943324311094594,-6.088276271408776,1.598337662825901,1.5372648129743927,264,681434.3981280073,7.345667276051189,0.7421875
SL=-10%,-10.0,none,False,none,False,False,193.35260647881367,43.23391681508488,0.9868565564831738,1.493572996100787,1.0676385126675811,-40.494901881219555,55.50660792951542,8.124650511732257,-7.043376175735434,1.375880928321522,1.4390403644085301,227,293352.6064788137,6.3161608775137115,0.3765625
SL=-15%,-15.0,none,False,none,False,False,400.8629834862454,71.24296684474606,1.4456800103328897,2.1914131960148016,1.6107030381449159,-44.230975640797354,59.09090909090909,7.489646437503831,-6.624586921227482,1.7156418816592025,1.6330645693303056,220,500862.9834862454,6.121389396709324,0.66953125
Trail=3%,-7.0,3.0,False,none,False,False,394.5483222714313,70.5191154051685,1.404676938313699,2.2271711923223783,1.5777018993993701,-44.69736357167034,44.90358126721763,8.277605924450048,-4.576741703004222,1.195320730260368,1.4740287449471923,363,494548.32227143133,10.100292504570385,0.6062500000000001
Trail=5%,-7.0,5.0,False,none,False,False,245.08861785899407,51.21575510295333,1.0888759485959794,1.7473270399633087,1.1508011008934904,-44.504437007567205,47.91666666666667,8.733293684170148,-5.893508568218902,1.1151675110508497,1.363301689720748,288,345088.61785899405,8.01345521023766,0.44531250000000006
Trail=7%,-7.0,7.0,False,none,False,False,727.0827334322834,102.45984455807564,1.7378173720659953,2.8264094016582195,3.128384759163558,-32.751676167055145,57.89473684210527,8.424909479292113,-6.526080780222322,2.1297556858123494,1.775070049566873,247,827082.7334322834,6.8726508226691045,0.8624999999999999
Trail=10%,-7.0,10.0,False,none,False,False,319.19849535402165,61.36343107025928,1.2473252676548883,1.9057887178201842,1.1030472737310575,-55.63082610475748,54.73251028806584,8.616044966106669,-7.132642454460653,1.4870095082366859,1.4605500986977213,243,419198.4953540216,6.761352833638026,0.5562499999999999
VolStop,-7.0,none,True,none,False,False,444.72947860068615,76.11087146746975,1.4368442870286453,2.2430358221181623,1.5341636813936852,-49.61065914318093,58.44748858447488,8.327098003197808,-6.812538070619894,2.0361989953557496,1.7193065236389014,219,544729.4786006862,6.093564899451554,0.6921875
VolStop+SL=-5%,-5.0,none,True,none,False,False,528.6526169901146,84.74071962722284,1.6131383189837531,2.5183001592868495,1.8921711851555651,-44.78491179446635,58.82352941176471,7.519198543858893,-6.075045798176934,1.9215685206676714,1.7681697492282604,221,628652.6169901146,6.149213893967094,0.7765625
VolStop+SL=-10%,-10.0,none,True,none,False,False,626.5739775864499,93.88871130984187,1.608311712986554,2.4841199943609373,1.7745990828159195,-52.90699866747368,60.82949308755761,8.080748448690038,-6.962585599148629,2.1881982456195925,1.8023371955679863,217,726573.9775864499,6.037915904936015,0.8265625000000001
Regime=drawdown,-7.0,none,False,drawdown,False,False,68.43850179250532,19.014862103595085,0.6450300190249595,0.7478162301918969,0.36745854628681934,-51.74695838684633,52.53164556962025,8.433113089915775,-6.867666430441747,1.1700848365815084,1.3589252255281454,158,168438.50179250533,4.396270566727606,0.11718750000000001
Regime=momentum,-7.0,none,False,momentum,False,False,547.6168572779411,86.58296308112874,1.4507400009708027,2.3029682532048494,1.424452768465158,-60.78331623057009,52.51141552511416,9.617329217974957,-6.550721792164165,1.9393506560824065,1.6234160248013336,219,647616.8572779411,6.093564899451554,0.721875
DynHold,-7.0,none,False,none,True,False,210.33775087024637,45.95101557143222,1.0457742074984715,1.527704195447684,1.027866615226712,-44.705232070697235,45.89041095890411,8.440065210900281,-5.412795741416626,0.9443390791671594,1.3224275089896504,292,310337.7508702464,8.124753199268739,0.37812499999999993
PartialProfit,-7.0,none,False,none,False,True,682.7295015229174,98.76826717786295,1.8837850070848368,2.6674806371934676,3.7466826286053188,-26.361524839009082,72.83236994219652,8.068079084118299,-7.155108613431276,3.9322997674429803,3.022919645848524,346,782729.5015229174,9.6272760511883,0.8890625
Trail=5%+Vol,-7.0,5.0,True,none,False,False,245.08861785899407,51.21575510295333,1.0888759485959794,1.7473270399633087,1.1508011008934904,-44.504437007567205,47.91666666666667,8.733293684170148,-5.893508568218902,1.1151675110508497,1.363301689720748,288,345088.61785899405,8.01345521023766,0.44531250000000006
Trail=7%+Vol,-7.0,7.0,True,none,False,False,727.0827334322834,102.45984455807564,1.7378173720659953,2.8264094016582195,3.128384759163558,-32.751676167055145,57.89473684210527,8.424909479292113,-6.526080780222322,2.1297556858123494,1.775070049566873,247,827082.7334322834,6.8726508226691045,0.8624999999999999
Trail=5%+DynH,-7.0,5.0,False,none,True,False,133.39352824908613,32.70660502700089,0.8283197150319203,1.2230982739649419,0.700303341253051,-46.7034827628825,43.037974683544306,8.584251456463688,-5.17055863598415,0.7492330493731469,1.2543864860324716,316,233393.5282490861,8.792541133455211,0.1890625
