big_move,n_est,depth,lr,mcw,lookback,retrain,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,score
3.0,150,5,0.05,20,252,63,608.8368662016194,63.22332317513138,1.1334700393533104,1.7748648494093593,1.4960665599285738,-42.259699446894814,52.366863905325445,9.912885732201953,-7.666093107414753,1.5394668174732853,1.4215868605871846,338,708836.8662016194,7.047068493150686,0.6222222222222222
4.0,150,5,0.05,20,252,63,148.13625037729375,25.52786367734756,0.6964419677660284,1.0855807984316648,0.4092843222834129,-62.37195584459877,45.88235294117647,10.062897403093435,-6.865308725142082,0.9017505572248036,1.242709872240026,340,248136.25037729376,7.088767123287672,0.23194444444444443
5.0,150,5,0.05,20,252,63,482.24081925965567,55.38413449205832,1.1200055619266556,1.8068779390668082,1.0539719265405287,-52.54801679001705,50.90909090909091,9.207287470448817,-6.643097162506403,1.4261895597253458,1.4373262777779332,330,582240.8192596557,6.88027397260274,0.5611111111111111
6.0,150,5,0.05,20,252,63,228.55823426183116,34.66091155228717,0.8806801131958822,1.336467505959825,0.9040853353480974,-38.33809729801864,53.70370370370371,7.63783719382524,-6.712575150748174,0.9941277750412517,1.3198945182535151,324,328558.23426183115,6.755178082191781,0.36666666666666664
7.0,150,5,0.05,20,252,63,332.60336427056467,44.255171904200076,0.9811542383582931,1.5433626045680988,0.9431345800856545,-46.92349622063573,50.0,9.14242024686687,-6.849547254997932,1.1464364959344695,1.3347481091098232,332,432603.36427056463,6.921972602739727,0.44166666666666665
5.0,100,5,0.05,20,252,63,287.7488354080911,40.358398655550445,0.9207115948419557,1.554779611581628,0.639833087164392,-63.07644831937424,52.72727272727272,8.44797379296152,-7.140132972660368,1.0790505946675348,1.319686907221679,330,387748.8354080911,6.88027397260274,0.3902777777777777
5.0,250,5,0.05,20,252,63,305.3891354746715,41.929317385945254,0.9544200361263331,1.4853846434245714,0.7782644372261315,-53.875412238272844,52.58358662613982,8.514894752472854,-7.03194249726278,1.1431421355769307,1.3428437382036862,329,405389.1354746715,6.859424657534247,0.40972222222222227
5.0,400,5,0.05,20,252,63,184.71628685951708,29.921458738596996,0.7749766832807314,1.2544396047367001,0.5547145074317188,-53.940285205683224,46.808510638297875,9.725296864453167,-6.539610963471875,1.0737501474717621,1.3086804839802293,329,284716.2868595171,6.859424657534247,0.3027777777777778
5.0,150,3,0.05,20,252,63,351.36417078533253,45.7954084870289,1.016967596026952,1.5111247783764314,0.9560943300109166,-47.89842074108526,49.691358024691354,9.34133572528946,-6.485022635411297,1.3793097598751896,1.422773462446528,324,451364.1707853325,6.755178082191781,0.47222222222222227
5.0,150,7,0.05,20,252,63,1221.0019749117673,90.72947012709332,1.4258838590240632,2.517285988372027,2.1650355003386177,-41.90668934200062,50.602409638554214,10.524712267632893,-6.656057898756889,2.037825799898181,1.6197894806259165,332,1321001.9749117673,6.921972602739727,0.8916666666666666
5.0,150,9,0.05,20,252,63,611.139667881557,63.35581880055947,1.0979608015899978,1.8094483999189417,1.0704428517559625,-59.18654947027775,49.848024316109424,10.739401472569105,-7.273898723029396,1.70537553860633,1.4674818274719648,329,711139.667881557,6.859424657534247,0.6194444444444445
5.0,150,5,0.02,20,252,63,569.179759627325,60.889261865827706,1.1434011516332458,1.9382289508694754,1.4938630429832234,-40.75960119090483,50.602409638554214,10.077910776479541,-7.128624531526209,1.5782969496333263,1.4482055314722306,332,669179.759627325,6.921972602739727,0.6361111111111111
5.0,150,5,0.1,20,252,63,206.9555002540313,32.389108685621835,0.8179982664448502,1.2956362232828904,0.8906681304808807,-36.364957470898425,50.621118012422365,8.160327215594652,-6.275509357374646,1.0320725103085706,1.3330580818066353,322,306955.5002540313,6.713479452054795,0.34444444444444444
5.0,150,5,0.15,20,252,63,79.19158383062562,15.710502157346241,0.5470777453353923,0.8004375438084321,0.2974064441905571,-52.82502267260912,52.58358662613982,7.3840413523171025,-6.802169743688294,0.6574488569467628,1.203838309522383,329,179191.5838306256,6.859424657534247,0.10416666666666666
5.0,150,5,0.05,5,252,63,164.77774955688042,27.582992035214883,0.7311950337505979,1.2065708470401877,0.41897791126270395,-65.83400053736969,50.30487804878049,8.177690941102707,-6.542072320313136,0.8626866374112969,1.2653529802090262,328,264777.74955688044,6.838575342465754,0.2722222222222222
5.0,150,5,0.05,10,252,63,137.87160555112465,24.208149974505243,0.6791058059278331,1.0829558016737804,0.37753001635717126,-64.1224509989758,50.303030303030305,8.54440631056213,-6.966143259315761,0.8361331909864496,1.2415200298894944,330,237871.60555112467,6.88027397260274,0.20416666666666666
5.0,150,5,0.05,40,252,63,108.3493528168745,20.157982194453282,0.6166848603941829,0.9207415639054384,0.3295749941225501,-61.16356687837088,51.84049079754601,8.523955223593042,-7.282184797611994,0.91179576552804,1.2599883111684076,326,208349.3528168745,6.796876712328768,0.14722222222222223
5.0,150,5,0.05,60,252,63,120.98185632186697,21.940541580236193,0.6519487055555298,0.9923465926488626,0.367528675013688,-59.69749592849878,50.59880239520959,8.58093329154277,-7.117609316647501,0.8256652365984755,1.2348185360828459,334,220981.85632186697,6.963671232876713,0.1638888888888889
5.0,150,5,0.05,20,126,63,85.28122694323166,14.674893037721738,0.5226974139116868,0.8261732783375443,0.25474627075579476,-57.60591899611911,50.150150150150154,8.127887262917687,-6.772108068275037,0.7002619626834751,1.2074305898197364,333,185281.22694323165,6.162018237082067,0.09027777777777778
5.0,150,5,0.05,20,504,63,704.3809497842726,100.58728254053979,1.7276967985181564,2.543283913585928,3.544941484872947,-28.374878110052897,59.83263598326359,8.219110770443194,-7.080169692729794,2.0737930948590657,1.729202964025613,239,804380.9497842726,6.650054844606947,0.9958333333333331
5.0,150,5,0.05,20,756,63,228.14952742198494,81.51896385230184,1.586021811652266,2.603100514269976,2.5012503502451997,-32.5912853322781,55.69620253164557,7.648780257983322,-5.695721832206562,1.736659078785272,1.688216129658474,158,328149.52742198494,6.606483516483516,0.9513888888888888
5.0,150,5,0.05,20,252,21,774.8955130341907,72.04828234596674,1.3685966803003982,2.2713066940731665,1.650259750499005,-43.6587527049489,52.307692307692314,9.306989502066715,-6.757572392672301,1.6454292138065687,1.5105522090390624,325,874895.5130341907,6.7760273972602745,0.7944444444444444
5.0,150,5,0.05,20,252,42,1233.635358174083,91.18416502401267,1.4586393205243664,2.434047286103186,1.8544317200690397,-49.170947647842176,51.829268292682926,10.06837959206759,-6.759219167161831,1.962402140975369,1.6027097778280412,328,1333635.3581740828,6.838575342465754,0.9
5.0,150,5,0.05,20,252,126,594.4258529452339,62.386747868997986,1.189863997208065,1.9283838398817632,1.064340465857669,-58.61540538038772,53.987730061349694,9.052739192193293,-7.290031248443501,1.5330595415935406,1.4570418548536876,326,694425.8529452339,6.796876712328768,0.6541666666666667
4.0,250,5,0.05,20,252,42,633.9700630052021,64.6523066392501,1.1921186445780496,1.9865133137437092,1.1082237650103788,-58.33867552790173,51.3677811550152,9.375300081029561,-6.723894485103837,1.5459045473476651,1.47275670856018,329,733970.0630052021,6.859424657534247,0.7083333333333333
3.0,250,7,0.05,10,504,42,667.7959854164924,97.49402859387648,1.515893024364198,2.4734483660598983,2.02382769746193,-48.173087420506775,53.333333333333336,9.947188236575478,-6.741303665029993,2.159225349159591,1.6863526244169351,240,767795.9854164924,6.677879341864717,0.9430555555555555
4.0,150,7,0.03,20,504,42,420.3816117743612,73.44266249420744,1.2639609635929252,2.1410195080121017,1.478932445253583,-49.65924084626779,49.2,9.999106125590702,-6.447841804151422,1.6440565772817022,1.5019248212570941,250,520381.6117743612,6.956124314442413,0.7749999999999999
5.0,250,7,0.05,10,504,42,488.75745553635477,80.74072172797962,1.431127949750052,2.2985492005425185,1.914496159969412,-42.17335266385158,49.7907949790795,9.456873186951723,-5.743750730257659,1.8247607599009874,1.63274249716145,239,588757.4555363548,6.650054844606947,0.8625
4.0,250,5,0.1,10,252,42,933.9786308360973,79.39139561146087,1.4414764563415652,2.451194376538617,2.0258659319117465,-39.188869490757305,54.29447852760736,8.784949097683775,-6.4709980365607445,1.8121389044247769,1.6127051741335132,326,1033978.6308360973,6.796876712328768,0.8722222222222222
3.0,400,5,0.03,20,504,21,354.1918929460119,65.74110892395137,1.241747359081737,2.1305581830167326,1.5370028627817105,-42.77227487069952,49.794238683127574,9.736639759457198,-6.385240064136829,1.6425272554305665,1.5123677637551953,243,454191.89294601185,6.761352833638026,0.7583333333333333
6.0,250,3,0.1,40,252,63,-53.023625060408676,-17.222236188203834,-0.19923641841019768,-0.3060771847460389,-0.2340538131525559,-73.58237815582353,44.342507645259936,7.597971325157408,-6.437990599210415,-0.2140931098118394,0.9402512646962286,327,46976.37493959133,6.817726027397261,0.027777777777777776
4.0,400,7,0.05,10,252,21,511.56250708289167,57.30585139482294,1.0759779459141388,1.673601549870725,1.1292278498275967,-50.74781976336487,51.681957186544345,9.218690129121585,-6.892668951393566,1.4339967507686988,1.4305775802221035,327,611562.5070828917,6.817726027397261,0.55
5.0,400,5,0.03,10,504,42,322.96730144830354,61.846341022540294,1.1724561816778503,1.911972440384457,1.1965823182871667,-51.685822260076094,49.59016393442623,9.953993127545244,-6.590703126138484,1.6138388685161518,1.4857503658328393,244,422967.3014483035,6.789177330895796,0.6513888888888888
3.0,150,7,0.1,10,252,42,15.95955799839599,3.773783071022918,0.3124299189493612,0.4744156983419235,0.05655529127956613,-66.72732092154241,49.101796407185624,8.05652110831465,-6.942882271669141,0.42209423826301945,1.1194447781732684,334,115959.55799839599,6.963671232876713,0.05555555555555555
4.0,250,3,0.05,40,504,63,212.5561874916047,46.29852075426799,1.054714960961826,1.5598382217301596,0.9498341747206893,-48.743793376230805,49.795918367346935,9.090899557260814,-6.559790577048654,1.2336143061585092,1.3745850113434008,245,312556.1874916047,6.817001828153565,0.4944444444444444
5.0,250,5,0.03,10,756,42,52.58695002183109,23.61574811501854,0.7023264843314588,1.0403763205253078,0.5607385985467196,-42.11543164002634,53.79746835443038,7.308049663888306,-6.706830771749601,0.832820095523956,1.2687621301183472,158,152586.9500218311,6.606483516483516,0.23333333333333334
