min_prob,max_prob,min_mom,tier_1,tier_2,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,tier_label,score
0.4,0.85,-999,50,50,576.8458912349532,89.353247974934,1.4927405089903036,2.4455164593777963,2.295939691076215,-38.91794210546094,54.58333333333333,8.846147465595314,-6.426184510541255,1.9099633597666221,1.654420037973441,240,676845.8912349533,6.677879341864717,50/50,0.7
0.4,0.85,-999,60,40,577.8734355555878,89.44917411301694,1.4900680770009345,2.447569806580802,2.3159177752563047,-38.623639866971324,54.58333333333333,8.846147514260975,-6.4261856663488865,1.9099628614006623,1.6544197495125539,240,677873.4355555878,6.677879341864717,60/40,0.7074074074074074
0.4,0.85,-999,70,30,575.5416621521957,89.23135219194116,1.4819866568997457,2.429965204372544,2.306783723785171,-38.68214920708847,54.58333333333333,8.846148208511698,-6.426186406293959,1.909962904287462,1.654419688853713,240,675541.6621521958,6.677879341864717,70/30,0.6351851851851851
0.4,0.85,0,50,50,690.6609284533248,99.4384597140218,1.7183000720372092,2.5226030397470196,3.3293101635604967,-29.86758662571659,59.83263598326359,8.21911603675588,-7.080171664983401,2.073795453630477,1.7292035903077192,239,790660.9284533248,6.650054844606947,50/50,0.8466666666666667
0.4,0.85,0,60,40,704.3809497842726,100.58728254053979,1.7276967985181564,2.543283913585928,3.544941484872947,-28.374878110052897,59.83263598326359,8.219110770443194,-7.080169692729794,2.0737930948590657,1.729202964025613,239,804380.9497842726,6.650054844606947,60/40,0.8674074074074075
0.4,0.85,0,70,30,716.606126857113,101.59999032467488,1.7299916416021004,2.5537643324770376,3.726420926874053,-27.26476485572527,59.83263598326359,8.219111785729625,-7.080168610834872,2.0737941369003705,1.7292034418630542,239,816606.1268571131,6.650054844606947,70/30,0.8970370370370371
0.4,0.85,2,50,50,414.0679227232053,72.73723331818289,1.437896472330657,2.178338232785145,1.900029823811778,-38.28215347286487,56.611570247933884,8.336737545293325,-7.018626576794599,1.674286170007242,1.5497985880970933,242,514067.9227232053,6.733528336380256,50/50,0.47000000000000003
0.4,0.85,2,60,40,402.2019645705517,71.39567240684197,1.422749484347482,2.1655611757760496,1.898731225128246,-37.60177926289683,56.611570247933884,8.33674372063106,-7.018628330232456,1.67428890517375,1.5497993489109818,242,502201.9645705517,6.733528336380256,60/40,0.44925925925925925
0.4,0.85,2,70,30,386.690872342798,69.60976472733711,1.3938351998261458,2.133618889442487,1.8729138884307457,-37.16655910201023,56.611570247933884,8.336741010166747,-7.018629460101308,1.674286880504987,1.5497985955472913,242,486690.87234279804,6.733528336380256,70/30,0.3785185185185185
0.4,0.9,-999,50,50,300.1057970836375,58.87151407893854,1.087217130246235,1.718768762283413,0.9192661458450573,-64.0418602871745,48.8,10.630675506602792,-7.08994898322326,1.5577157678118543,1.4291164317552496,250,400105.7970836375,6.956124314442413,50/50,0.11222222222222222
0.4,0.9,-999,60,40,323.15610822382047,61.87045795187185,1.1141537218703874,1.7611039285137449,0.9784008151883724,-63.236310713784384,48.8,10.630675442333061,-7.089944221907702,1.5577181742417903,1.4291173828511967,250,423156.1082238205,6.956124314442413,60/40,0.1674074074074074
0.4,0.9,-999,70,30,335.86590494709515,63.47770907960728,1.1233121196824223,1.778414459094963,1.0084794815169464,-62.94397679179813,48.8,10.630673625721936,-7.089945871154214,1.5577164433213477,1.4291168062002022,250,435865.9049470951,6.956124314442413,70/30,0.197037037037037
0.4,0.9,0,50,50,728.6166856562912,102.58513172825539,1.5161739724332877,2.434395698646258,1.8617645964644627,-55.10102186015735,53.38645418326693,10.737670170576502,-7.569666303572569,2.2039714953755403,1.6246217436376718,251,828616.6856562912,6.983948811700183,50/50,0.7814814814814814
0.4,0.9,0,60,40,657.2358422821625,96.58296006844836,1.464241471861064,2.322742578371267,1.7510867146746543,-55.15601212610029,53.38645418326693,10.737666143602274,-7.56966628571631,2.203969353840224,1.624621138184234,251,757235.8422821624,6.983948811700183,60/40,0.6325925925925925
0.4,0.9,0,70,30,586.2845742341314,90.23077595216398,1.4058259095307857,2.1937366071368407,1.597907738093131,-56.468076223124875,53.38645418326693,10.737667117820548,-7.569670063564807,2.2039681129516766,1.6246204747733948,251,686284.5742341314,6.983948811700183,70/30,0.5133333333333333
0.4,0.9,2,50,50,308.5188258904244,59.979105302979896,1.0940808055112878,1.627639252767327,0.9133401629397111,-65.670062192304,50.79365079365079,10.397713472767787,-7.50739911400572,1.5872612475300303,1.4296727031294978,252,408518.8258904244,7.011773308957952,50/50,0.1388888888888889
0.4,0.9,2,60,40,296.87781982182815,58.442427195536226,1.0768301767693575,1.5915712441620822,0.9040198340269359,-64.64728426942334,50.79365079365079,10.39771221309115,-7.507400685601261,1.5872598343694884,1.4296722306385836,252,396877.81982182816,7.011773308957952,60/40,0.09259259259259259
0.4,0.9,2,70,30,279.2282713563008,56.05424203435256,1.0489146913566445,1.5325528406786688,0.8778811673402245,-63.851742262775566,50.79365079365079,10.397707854246718,-7.507403404676271,1.5872562823957248,1.4296711134962243,252,379228.2713563008,7.011773308957952,70/30,0.056296296296296296
0.4,1.0,-999,50,50,857.8435646675489,112.62847910550886,1.4198058501179778,2.3624338155119804,2.0694348432113543,-54.42475247528533,49.063670411985015,13.76193306963357,-8.36233419275479,2.492643377930136,1.5852008951568783,267,957843.564667549,7.429140767824498,50/50,0.6755555555555556
0.4,1.0,-999,60,40,725.8081573199867,102.35562441446832,1.34310903716906,2.2063846146696107,1.8609478448829462,-55.00187697141319,49.063670411985015,13.761931289922254,-8.36233524325254,2.492641969653446,1.5852004910196813,267,825808.1573199867,7.429140767824498,60/40,0.557037037037037
0.4,1.0,-999,70,30,618.4225614945462,93.15974310045159,1.2736475475363975,2.0609929460633687,1.671956624834351,-55.7189951681201,49.063670411985015,13.761928611833254,-8.36233528316922,2.492640635352594,1.5852001749709108,267,718422.5614945462,7.429140767824498,70/30,0.4177777777777778
0.4,1.0,0,50,50,612.3921424011271,92.61689888226017,1.3352040985670952,2.056701331904614,1.5414674526522198,-60.08359029761237,45.86466165413533,13.915427802696133,-7.796064303840712,2.1618380908867127,1.512232224709212,266,712392.1424011271,7.401316270566728,50/50,0.39666666666666667
0.4,1.0,0,60,40,541.7310438404361,86.01508835943426,1.2765941551756734,1.9358810745913448,1.4302903124481134,-60.13820244101991,45.86466165413533,13.915428421767954,-7.796063690044573,2.161838707102526,1.5122324110460303,266,641731.043840436,7.401316270566728,60/40,0.31666666666666665
0.4,1.0,0,70,30,481.91526700774483,80.03671598195467,1.2227373226981564,1.8199735292595305,1.3298185381150913,-60.18619359555639,45.86466165413533,13.91542522557928,-7.7960671399676675,2.161835373553865,1.512231394511995,266,581915.2670077449,7.401316270566728,70/30,0.2637037037037037
0.4,1.0,2,50,50,1106.6539341289686,129.67001038305054,1.556485298027318,2.411228765961083,2.2027077129337274,-58.868459769610794,46.441947565543074,14.862920116458804,-7.980462382310783,2.628449339964232,1.6149598753975791,267,1206653.9341289685,7.429140767824498,50/50,0.8285185185185184
0.4,1.0,2,60,40,949.8771995496844,119.24211556866564,1.4836422783248366,2.2688902191415736,2.0242176158047958,-58.90775509393882,46.441947565543074,14.862916825370716,-7.980463348737613,2.62844729391944,1.6149593222277934,267,1049877.1995496843,7.429140767824498,60/40,0.74
0.4,1.0,2,70,30,817.3603079158911,109.58484981198109,1.4138722758169977,2.1260997554924246,1.8609196357195648,-58.887470317657076,46.441947565543074,14.862914782868742,-7.9804635138561855,2.6284462569074516,1.614959066881676,267,917360.307915891,7.429140767824498,70/30,0.5885185185185186
0.45,0.85,-999,50,50,576.8458912349532,89.353247974934,1.4927405089903036,2.4455164593777963,2.295939691076215,-38.91794210546094,54.58333333333333,8.846147465595314,-6.426184510541255,1.9099633597666221,1.654420037973441,240,676845.8912349533,6.677879341864717,50/50,0.7
0.45,0.85,-999,60,40,577.8734355555878,89.44917411301694,1.4900680770009345,2.447569806580802,2.3159177752563047,-38.623639866971324,54.58333333333333,8.846147514260975,-6.4261856663488865,1.9099628614006623,1.6544197495125539,240,677873.4355555878,6.677879341864717,60/40,0.7074074074074074
0.45,0.85,-999,70,30,575.5416621521957,89.23135219194116,1.4819866568997457,2.429965204372544,2.306783723785171,-38.68214920708847,54.58333333333333,8.846148208511698,-6.426186406293959,1.909962904287462,1.654419688853713,240,675541.6621521958,6.677879341864717,70/30,0.6351851851851851
0.45,0.85,0,50,50,690.6609284533248,99.4384597140218,1.7183000720372092,2.5226030397470196,3.3293101635604967,-29.86758662571659,59.83263598326359,8.21911603675588,-7.080171664983401,2.073795453630477,1.7292035903077192,239,790660.9284533248,6.650054844606947,50/50,0.8466666666666667
0.45,0.85,0,60,40,704.3809497842726,100.58728254053979,1.7276967985181564,2.543283913585928,3.544941484872947,-28.374878110052897,59.83263598326359,8.219110770443194,-7.080169692729794,2.0737930948590657,1.729202964025613,239,804380.9497842726,6.650054844606947,60/40,0.8674074074074075
0.45,0.85,0,70,30,716.606126857113,101.59999032467488,1.7299916416021004,2.5537643324770376,3.726420926874053,-27.26476485572527,59.83263598326359,8.219111785729625,-7.080168610834872,2.0737941369003705,1.7292034418630542,239,816606.1268571131,6.650054844606947,70/30,0.8970370370370371
