max_positions,picks_per_day,sizing,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,avg_positions,max_positions_used,pct_fully_invested,score
2,1,Equal,1002.1456193078375,82.27966018576105,1.4862598652485448,2.618919900828998,1.8363170550873207,-44.80689212018917,51.886792452830186,9.515804686430084,-6.392534219177689,1.8617925714678538,1.605332401367305,318,1102145.6193078374,6.630082191780823,1.9900398406374502,2,99.00398406374502,0.8915441176470588
2,1,Prob,1002.1456193078375,82.27966018576105,1.4862598652485448,2.618919900828998,1.8363170550873207,-44.80689212018917,51.886792452830186,9.515804686430084,-6.392534219177689,1.8617925714678538,1.605332401367305,318,1102145.6193078374,6.630082191780823,1.9900398406374502,2,99.00398406374502,0.8915441176470588
2,1,Kelly,100.086683864418,18.947720882756247,1.4719255622671867,2.5912731242004208,1.4216154130562135,-13.328302935336152,51.886792452830186,9.515662805302387,-6.392657308962473,1.8616597314579744,1.6052775557745997,318,200086.683864418,6.630082191780823,1.9900398406374502,2,99.00398406374502,0.5540441176470589
2,1,Tiered,1002.1456193078375,82.27966018576105,1.4862598652485448,2.618919900828998,1.8363170550873207,-44.80689212018917,51.886792452830186,9.515804686430084,-6.392534219177689,1.8617925714678538,1.605332401367305,318,1102145.6193078374,6.630082191780823,1.9900398406374502,2,99.00398406374502,0.8915441176470588
2,2,Equal,1337.8144216193045,94.81569655708645,1.6194603798621905,2.727478867510692,2.158569706749292,-43.92524191394986,53.41614906832298,9.167085859771513,-6.273322004881216,1.9743492768587507,1.6756021415276243,322,1437814.4216193047,6.713479452054795,2.0,2,100.0,0.9724264705882354
2,2,Prob,1341.2220347332577,94.93110118662781,1.6203870386600805,2.7298371769075898,2.161231254823951,-43.924545776736274,53.41614906832298,9.16708783365409,-6.273327568185476,1.9743477396294487,1.6756010163673167,322,1441222.0347332577,6.713479452054795,2.0,2,100.0,0.9812500000000001
2,2,Kelly,113.47378300604562,20.89059948301937,1.5992977554741017,2.6872601000883485,1.5658787898481445,-13.341134459740204,53.41614906832298,9.16694909524366,-6.2734725319474745,1.9742061012105236,1.6755369389149135,322,213473.78300604562,6.713479452054795,2.0,2,100.0,0.6488970588235294
2,2,Tiered,1527.8860558271508,100.96178085210808,1.6730553030715036,2.8461486148693202,2.2985145746252895,-43.924794720332436,53.41614906832298,9.167085943124807,-6.273328196874584,1.974346436913911,1.6756005028856495,322,1627886.0558271506,6.713479452054795,2.0,2,100.0,0.9922794117647059
4,1,Equal,295.23565119796535,41.03153388776588,1.073646788664767,1.7910886707573543,1.124754409234583,-36.48043835248322,51.269841269841265,8.271760357943878,-6.464562428608717,1.0907268730682482,1.3462414465140018,630,395235.6511979653,13.135068493150687,3.8615537848605577,4,88.54581673306772,0.20404411764705882
4,1,Prob,295.23565119796535,41.03153388776588,1.073646788664767,1.7910886707573543,1.124754409234583,-36.48043835248322,51.269841269841265,8.271760357943878,-6.464562428608717,1.0907268730682482,1.3462414465140018,630,395235.6511979653,13.135068493150687,3.8615537848605577,4,88.54581673306772,0.20404411764705882
